time,mrid,battery,phases,p_a,p_b,p_c,soc
1672583400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-8.58067465,-8.58067465,-8.58067465,81.52279900900389
1672583400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,51.31035160927938
1672583400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672583400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,62.629494580061284
1672584000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
1672584000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.0,-0.0,0.0,81.4480208502314
1672584000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-29.048707084,-29.048707084,-29.048707084,47.89662485739389
1672584000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672584000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.70015874159955
1672584600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
1672584600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.187374153,-66.187374153,-66.187374153,75.79399287685958
1672584600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.807956630072184
1672584600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672584600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,58.59809807047067
1672585200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
1672585200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.0,-0.0,0.0,75.72645329355991
1672585200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,43.484958202970546
1672585200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-12.186594345,-12.186594345,-12.186594345,55.96078480821836
1672585200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,54.27509964336898
1672585800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
1672585800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-48.86134397,-48.86134397,-48.86134397,71.52165583906705
1672585800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,43.44121791534389
1672585800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,55.94821657376337
1672585800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,49.90107088070286
1672586400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,59.91590925302654
1672586400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-36.773782700000005,-36.773782700000005,-36.773782700000005,68.326256398437
1672586400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,43.44121791534389
1672586400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,55.94821657376337
1672586400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,49.85004054513843
1672587000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,54.083870902805046
1672587000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,62.569274623433955
1672587000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-4.775693198,-4.775693198,-4.775693198,42.84437088919586
1672587000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,55.94821657376337
1672587000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,49.85004054513843
1672587600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,48.25183255258356
