time,mrid,phase,p,q
1672534860,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,498252.3095590001,-83226.817439
1672534860,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,569141.356302,-45759.28298299999
1672534920,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644417.500703,4519.185187
1672534920,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496802.925571,-84131.885547
1672534920,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567302.970719,-46870.754297
1672534980,_903a0e85-6a11-4b8e-82cf-163376df7764,A,647445.023242,6416.0897749999995
1672534980,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,498753.581758,-82913.755732
1672534980,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,569777.07244,-45374.781418
1672535040,_903a0e85-6a11-4b8e-82cf-163376df7764,A,648479.484912,7064.417379000001
1672535040,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,499420.11349,-82497.45036200002
1672535040,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,570622.241505,-44863.411239
1672535100,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644862.914896,4798.199739
1672535100,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,497089.90190699993,-83952.698258
1672535100,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567666.826626,-46650.62842800002
1672535160,_903a0e85-6a11-4b8e-82cf-163376df7764,A,649122.1233989999,7467.244432
1672535160,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,499834.19144900003,-82238.803062
1672535160,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,571147.568746,-44545.842704
1672535220,_903a0e85-6a11-4b8e-82cf-163376df7764,A,651151.405515,8739.472661
1672535220,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,501141.761191,-81421.95515900002
1672535220,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,572805.690815,-43542.532073
1672535280,_903a0e85-6a11-4b8e-82cf-163376df7764,A,647294.2234090001,6321.561455000001
1672535280,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,498656.4138849999,-82974.443865
1672535280,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,569653.4315250001,-45449.10554500001
1672535340,_903a0e85-6a11-4b8e-82cf-163376df7764,A,645666.329078,5301.533758
1672535340,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,497607.54254,-83629.465523
1672535340,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,568323.404773,-46253.684938
1672535400,_903a0e85-6a11-4b8e-82cf-163376df7764,A,647012.341928,6144.936097000002
1672535400,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,498474.795269,-83087.87060199998
1672535400,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,569423.417721,-45588.579003
1672535460,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644307.5559090001,4450.314064
1672535460,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496732.08893,-84176.11481600002
1672535460,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567213.110766,-46925.064595
1672535520,_903a0e85-6a11-4b8e-82cf-163376df7764,A,646207.56056,5640.653715
1672535520,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,497956.26378299994,-83411.69816300001
1672535520,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,568765.856627,-45986.326391
1672535580,_903a0e85-6a11-4b8e-82cf-163376df7764,A,646941.8720959999,6100.774357000001
1672535580,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,498429.38993,-83116.22773700001
1672535580,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,569365.7986030001,-45623.388680000004
1672535640,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644373.804817,4491.812822
1672535640,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496774.772534,-84149.463926
1672535640,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567267.2490769998,-46892.335114999994
1672535700,_903a0e85-6a11-4b8e-82cf-163376df7764,A,640121.971312,1847.458104
1672535700,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,494030.326611,-85847.70611
1672535700,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,563785.941724,-48978.416083000004
1672535760,_903a0e85-6a11-4b8e-82cf-163376df7764,A,640105.314126,1818.8698799999997
1672535760,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,494024.724966,-85866.21887199998
1672535760,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,563779.855092,-49001.016066000004
1672535820,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644070.74583,4302.003283000001
1672535820,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496579.519075,-84271.373735
1672535820,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567020.016518,-47042.267306
1672535880,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644420.318346,4520.959364
1672535880,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496804.74250399997,-84130.750382
1672535880,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567305.42768,-46869.439001
1672535940,_903a0e85-6a11-4b8e-82cf-163376df7764,A,643150.283355,3725.47077
1672535940,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,495986.478615,-84641.634416
1672535940,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,566267.631751,-47496.879337
1672536000,_903a0e85-6a11-4b8e-82cf-163376df7764,A,644196.198721,4380.574194
1672536000,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496660.34503299993,-84220.909117
1672536000,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567122.34706,-46980.19639599999
1672536060,_903a0e85-6a11-4b8e-82cf-163376df7764,A,640969.504589,2359.889929
1672536060,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,494581.477259,-85518.71229000001
1672536060,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,564485.742459,-48574.099016
1672536120,_903a0e85-6a11-4b8e-82cf-163376df7764,A,643784.6023809998,4122.770264
1672536120,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496395.16035,-84386.47994200002
1672536120,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,566786.14967,-47183.610473
1672536180,_903a0e85-6a11-4b8e-82cf-163376df7764,A,643038.922709,3655.7293470000004
1672536180,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,495914.731891,-84686.426582
1672536180,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,566176.675115,-47551.910997
1672536240,_903a0e85-6a11-4b8e-82cf-163376df7764,A,642455.3300370001,3290.2547130000007
1672536240,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,495538.73914399993,-84921.15594199998
1672536240,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,565699.8616429999,-47840.22249
1672536315,_903a0e85-6a11-4b8e-82cf-163376df7764,A,552784.988599,-7781.544782
1672536315,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,408173.920492,-93434.37598900001
1672536315,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,477157.581709,-56910.197036
1672536360,_903a0e85-6a11-4b8e-82cf-163376df7764,A,555810.223455,-5913.784405000001
1672536360,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,410128.460015,-92232.394584
1672536360,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,479631.910274,-55433.01379799999
1672536420,_903a0e85-6a11-4b8e-82cf-163376df7764,A,558142.570514,-4469.841589
1672536420,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,411634.451585,-91303.23237000001
1672536420,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,481538.072309,-54291.062518
1672536480,_903a0e85-6a11-4b8e-82cf-163376df7764,A,557543.68991,-4840.66128
1672536480,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,411247.749118,-91541.838883
1672536480,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,481048.433371,-54584.215335
1672536540,_903a0e85-6a11-4b8e-82cf-163376df7764,A,560331.316974,-3114.341833
1672536540,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,413047.774489,-90431.066617
1672536540,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,483327.01744900004,-53219.212077000004
1672536600,_903a0e85-6a11-4b8e-82cf-163376df7764,A,565110.176602,-153.236051
1672536600,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,416133.772513,-88526.089963
1672536600,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,487233.289342,-50878.17799599999
1672536660,_903a0e85-6a11-4b8e-82cf-163376df7764,A,568439.370014,1910.855858
1672536660,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,418283.779014,-87198.414385
1672536660,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,489954.6334030001,-49246.54703200001
1672536720,_903a0e85-6a11-4b8e-82cf-163376df7764,A,569954.151897,2850.3520160000007
1672536720,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,419262.070666,-86594.16675899999
1672536720,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,491192.826467,-48503.93733
1672536780,_903a0e85-6a11-4b8e-82cf-163376df7764,A,567572.336013,1373.1806559999998
